manufacturer,model_name,feature_text,sources
Garrard,301,"Garrard states that the Model 301 launched in 1954 as its transcription turntable for the serious HiFi market and became an icon of turntable design and performance.,Current official Garrard 301 Classic page describes the Model 301 transcription motor as supreme in its class, with heavy accurately balanced platter, fine speed control for 33⅓, 45 and 78 RPM, rim drive, die-cast aluminium chassis, and spring-suspended induction motor.","Garrard heritage page,Garrard 301 Classic official page"
Gold Note,Mediterraneo,"Italian high-end belt-drive turntable built around a curved catenary plinth, walnut chassis, acrylic and stainless reinforcement layers, and integrated Gold Note B-7 Ceramic tonearm.,Gold Note specifies a 45 mm high-density POM platter, EPDM belt transmission, high-torque 12V synchronous motor, bronze bearing system, and electronic speed control with fine pitch adjustment.",Gold Note Mediterraneo official page
Goldmund,Reference,"Goldmund identifies the Reference as its 1982 state-of-the-art vinyl record turntable and foundation-stone product, built around T3 tonearm technology.,Goldmund states the Reference was presented at CES and that the Goldmund Studio Turntable LP was selected by The Absolute Sound in 1983 as one of the 12 analog components that shook the audio world.",Goldmund Reference turntable official history page
Kuzma,Stabi R,"Compact high-end turntable platform built around a solid aluminium base with internal power supply and extensive arm-mounting flexibility, offered in multiple arm-board and finish configurations.,Kuzma describes the Stabi R as using a DC motor with proprietary non-flexible belt drive and a constrained three-layer aluminium-acrylic-aluminium platter intended to minimise vibration and maximise damping.","Kuzma Stabi R official page,Kuzma Stabi R official site description"
Linn,Selekt LP12,"Elite pre-configured Sondek LP12 package positioned between Majik LP12 and Klimax LP12, designed to combine strong musical performance with future upgradeability.,Linn describes Selekt LP12 as an upper-echelon component package within the modular Sondek LP12 platform, with selectable plinth finishes and a clear path for later performance upgrades.",Linn Selekt LP12 official page
Linn,Sondek LP12 Klimax,"Linn presents Klimax LP12 as the ultimate pre-configured expression of the modular Sondek LP12 platform within the current three-tier LP12 lineup.,The official Linn turntables page describes Sondek LP12 as a modular, upgradeable turntable architecture with more than five decades of development and over fifty retrofittable upgrades.",Linn turntables page
Michell,GyroDec,"Long-running suspended reference turntable platform evolved from the classic Michell GyroDec concept, now reworked with a new chassis, revised suspension, and upgraded motor and PSU architecture.,Michell highlights a 19 mm aerospace-grade aluminium chassis, embedded brass weights, tuned 3.5 Hz suspension with lateral damping, isolated freestanding motor housing, and inverted bearing with double-helix oil pumping.",Michell Gyro official page
Micro Seiki,SX-8000 II,"Vacuum-equipped air-bearing flagship turntable system developed to pursue high-inertia, high-dimensional analogue playback with floating platter support and vibration isolation.,The translated manual describes an air-bearing platter with vacuum disc adsorption system, pole-frequency-generator servo DC motor with belt upper drive, separate power box and air pump, 33/45 RPM operation with 78 RPM pulley-position method, and dedicated BA-600 air-suspended audio base.",Micro Seiki SX-8000 Mk II operating manual translated mirror
Nottingham Analogue,Space Deck,"Space Deck is represented from an original Nottingham Analogue Studio dealer manual covering setup, arm geometry, plinth behavior, maintenance, and model-specific Space Deck instructions.,The mirrored dealer manual lists Space Deck setup specifications, arm-center-to-spindle distances, model-specific assembly instructions, supplied plinth guidance, maintenance procedures for belt and oil, and general specifications including an 18 x 14.25 x 8 inch Space Deck footprint.",Nottingham Analogue Space Deck dealer manual mirror
Oracle,Delphi MKVI,"Suspended high-end belt-drive turntable using Oracle’s floating sub-chassis architecture, tripedal suspension, record clamp system, and precision micro-vibration control design.,Oracle specifies a 4 kg platter, six-point bearing system, AC synchronous motor, Micro Vibration Stabilizer System, and suspended aluminium/magnesium sub-chassis with acrylic plinth.",Oracle Delphi MkVI Second Generation official page
Pear Audio,Kid Thomas,"Pear Audio presents Kid Thomas as part of its Tom Fletcher-derived turntable line, offered in natural wood or satin black finishes and positioned as a pursuit of the ultimate turntable.,Pear Audio says its turntables follow a materials-first design philosophy, focusing on how combined materials maintain the proper phase of energy throughout the system, with even bearing oil developed specifically for Pear Audio Analogue.",Pear Audio Kid Thomas official page
Pioneer,PLX-1000,"Professional direct-drive turntable built for booth use, combining high torque, stable rotation, multi-pitch control, and heavy anti-resonance construction.,Pioneer states the PLX-1000 reaches 33⅓ rpm in 0.3 seconds with starting torque of 4.5 kg/cm or more, uses a heavy die-cast zinc chassis with thick resin and damping layers, rubber-insulated tonearm, and tempo ranges of ±8%, ±16%, and ±50%.",Pioneer DJ PLX-1000 official page
Pro-Ject,Debut PRO S Balanced,"Modern belt-drive turntable with true balanced mini XLR output, 10-inch S-shape tonearm, manual controls, and matte-black PRO-series design.,Pro-Ject lists electronic 33/45/78 speed control, die-cast aluminium platter with TPE damping, high-precision stainless-steel bearing in bronze bushing, fully adjustable azimuth and VTA, 10-inch aluminium tonearm with SME connector, and 7 kg net weight.",Pro-Ject Debut PRO S Balanced official page
Pro-Ject,Xtension 12 Evolution,"Flagship Pro-Ject turntable with 12-inch EVO tonearm, heavyweight belt-drive platform, magnetic decoupling feet, and push-button 33/45/78 speed control.,Pro-Ject highlights an aluminium platter with internal TPE damping and vinyl top layer, inverted ceramic ball bearing with magnetic support, and an MDF chassis loaded with steel pellets to add mass without alloy ringing.",Pro-Ject Xtension 12 Evolution official page
Rega,Planar 10,"Ultra-light skeletal turntable inspired by the Naiad, built around a Tancast 8 foam-core plinth with ceramic bracing, ceramic oxide platter, RB3000 tonearm, and dedicated P10 PSU.,Key official features include a ceramic oxide diamond-cut platter, double-brace plinth architecture, low-noise 24 V synchronous motor, EBLT drive belt, and outboard electronic speed-control PSU.",Rega Planar 10 Turntable
Rega,Planar 8,"Naiad-inspired lightweight skeletal turntable supplied with RB880 tonearm and Neo PSU, engineered to extract maximum detail from vinyl with minimal mass and high rigidity.,Rega highlights a Tancast 8 foam-core plinth, phenolic double-brace structure, triple-layer glass platter, low-mass central bearing, 24 V low-noise synchronous motor, Reference EBLT belt, and Neo PSU with DSP-based speed control.",Rega Planar 8 official page
SME,Model 15,"Compact suspended precision turntable inspired by the Model 20, using high-density construction, fluid damping, and advanced drive electronics to deliver dynamic, low-colouration playback.,SME specifies CNC-machined aluminium chassis and sub-chassis, 30 suspension rings, central fluid damper, 4.6 kg aluminium platter, bi-phase AC synchronous motor, DSP speed control with ±0.01% fine pitch, and 18.73 kg turntable weight.",SME Model 15 official page
SME,Model 20/3,"Compact suspended precision turntable from SME’s Model 20 family, engineered with high-density construction, extensional damping, fluid-damped suspended sub-chassis, and advanced speed-control architecture.,SME specifies a 26 kg turntable with suspended suspension system, central fluid damper, 6.5 kg aluminium platter, custom bi-phase AC synchronous motor, DSP-generated sine-wave speed control, independent mains power unit, and 33.33/45 RPM operation with ±0.01% fine pitch adjustment.",SME Model 20 official page
Sony,PS-LX310BT,"Bluetooth-enabled Sony turntable designed for simple vinyl playback, with built-in phono EQ, support for wireless listening, and two-speed operation.,Sony highlights stable Bluetooth connectivity, direct built-in output connection to a sound system, built-in phono equalizer, and 33⅓ / 45 RPM playback with easy setup and straightforward controls.",Sony PS-LX310BT official page
TW-Acustic,Raven LS,"2020 mass-loaded high-end turntable designed to fit a standard hi-fi rack while supporting up to four tonearms, with motor control integrated into a solid aluminium plinth.,TW Acustic says the Raven LS uses a plinth milled from a single piece of aluminum, modified Pabst motor positioned close to the platter, and bearing architecture shared with larger models. Official dimensions are 460 mm wide, 410 mm deep without auxiliary motor, and 175 mm high to platter top.",TW Acustic Raven LS official page
Technics,SL-1200G,"Modern reference direct-drive turntable using a coreless direct-drive motor, advanced motor control, three-layer platter construction, factory balance adjustment, and a high-sensitivity magnesium tonearm.,Technics positions the SL-1200G as a no-cogging coreless direct-drive design with high starting torque and high-speed stability.",Technics SL-1200G-S official page
Technics,SP-10R,"Reference-class direct-drive turntable system with coreless motor, heavyweight platter, and separate control unit to isolate noise from the main unit.,Technics specifies a double-coil twin-rotor coreless direct-drive motor, 7.9 kg brass-and-aluminium platter, 33⅓/45/78 RPM support, wow and flutter of 0.015% WRMS, and ±16% speed adjustment with OLED display to two decimal places.",Technics SP-10R official page
Thorens,TD 124 DD,"Modern revival of the classic TD 124, combining a redesigned direct-drive platform with height-adjustable aluminium chassis, TP 124 tonearm, external power supply, and balanced plus unbalanced outputs.,Thorens presents the TD 124 DD as a direct-drive reinterpretation of the original 1957 TD 124, preserving the purist design concept while replacing the idler-and-belt system with a high-precision direct drive.",Thorens TD 124 DD official page
Thorens,TD 1600,"Modern Thorens subchassis turntable that blends classic 160-series design with updated engineering, including a wooden plinth, two-part platter, inner belt, and acrylic dust cover.,Thorens says the TD 1600 uses conical springs mounted on the bottom, a tensioned steel thread to prevent subchassis staggering while allowing only vertical movement, and a powerful control unit for motor speed.",Thorens TD 1600 official page
VPI,Avenger,"High-end VPI turntable with tripod-style chassis architecture, up to three tonearm positions, and a heavy aluminium platter on a layered acrylic-and-aluminium platform.,VPI specifies a three-layer bonded acrylic/aluminium/acrylic chassis with damping material, 25 lb 12-inch aluminium platter, 300 RPM 24-pole AC synchronous motor, support for up to three tonearms, wow and flutter of 0.03%, and rumble 82 dB down.",VPI Avenger official page
VPI,Prime 21,"Prime 21 updates the VPI Prime platform with refined details, 10-inch 3D-printed gimbal tonearm, 20 lb aluminium platter, and MDF-plus-steel chassis construction.,Official Prime 21 specifications include a JMW-10-3D tonearm, 12-inch 20 lb aluminium platter, 300 RPM motor, wow and flutter of 0.05%, and rumble 80 dB down.",VPI Prime 21 official page
Well Tempered Lab,Amadeus,"Well Tempered Lab presents Amadeus as its original design platform, with the MK II version combining a dual-layer MDF plinth, acrylic platter, and Symmetrex tonearm configuration.,Official Amadeus MK II features include a zero-clearance platter bearing, servo-controlled motor with vibration-controlled mounting, 0.004-inch polyester thread belt, and silicone-damped golf-ball tonearm architecture.",Well Tempered Lab Amadeus MK II official page
Yamaha,GT-5000,"Flagship Yamaha turntable that revives the GT heritage with a balanced signal path, short straight tonearm, heavy aluminium platter, and custom belt-drive mechanism.,Yamaha describes the GT-5000 as a custom belt-drive design powered by a 24-pole, 2-phase AC synchronous motor, using a 5 kg aluminium platter and heavy-duty isolation feet.",Yamaha GT-5000 official overview
